algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
1,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8145,8144,1.0,0.99987722529159,0.000122774708410045,0.00012276717136419692
2,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8144,8141,3.0,0.99963163064833,0.00036836935166995044,0.0002126389686846665
3,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8141,8134,7.0,0.999140154772141,0.0008598452278589797,0.000324851197411653
4,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8141,8136,5.0,0.9993858248372436,0.000614175162756414,0.0002745831228751589
5,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8141,8129,12.0,0.9985259796093846,0.0014740203906153937,0.0004251993115604269
6,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8139,8129,10.0,0.998771347831429,0.0012286521685710428,0.00038829517059009206
7,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8139,8130,9.0,0.998894213048286,0.0011057869517140384,0.0003683918000715114
8,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8136,8129,7.0,0.9991396263520156,0.0008603736479844137,0.00032505074960589533
9,5,6,84,70,swap3_f8b7dcce,0.001,0.3,8135,8127,8.0,0.9990165949600492,0.0009834050399507577,0.0003475151859762397
10,5,6,84,70,swap3_f8b7dcce,0.001,0.3,15452,15426,26.0,0.9983173699197516,0.0016826300802483818,0.00032971316500744643
20,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7316,7285,31.0,0.9957627118644068,0.004237288135593209,0.000759425332075853
30,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7316,7261,55.0,0.9924822307271732,0.007517769272826769,0.0010098782479698754
40,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7314,7247,67.0,0.9908394859174188,0.009160514082581228,0.0011139971968043005
50,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7313,7256,57.0,0.9922056611513744,0.0077943388486255705,0.0010283541492742672
60,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7313,7221,92.0,0.9874196636127444,0.012580336387255642,0.0013033144970400954
70,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7312,7196,116.0,0.9841356673960612,0.015864332603938824,0.001461235780010402
80,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7312,7171,141.0,0.9807166301969366,0.019283369803063444,0.0016082188325819485
90,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7310,7147,163.0,0.9777017783857728,0.02229822161422723,0.0017269494595927508
100,5,6,84,70,swap3_f8b7dcce,0.001,0.3,7310,7153,157.0,0.9785225718194256,0.02147742818057441,0.0016955783915781322
110,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1207,1176,31.0,0.9743164871582436,0.025683512841756406,0.004553272083822297
120,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1204,1173,31.0,0.974252491694352,0.02574750830564798,0.00456446753613759
130,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1203,1169,34.0,0.971737323358271,0.02826267664172899,0.004778023408246761
140,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1202,1153,49.0,0.959234608985025,0.040765391014975005,0.005703691036476003
150,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1201,1159,42.0,0.9650291423813488,0.03497085761865115,0.005300927348533207
160,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1067,1021,46.0,0.9568884723523898,0.04311152764761017,0.006217920395931434
170,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1064,1013,51.0,0.9520676691729324,0.047932330827067604,0.006549035864913051
180,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1060,1010,50.0,0.9528301886792452,0.04716981132075482,0.006511587655336548
190,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1057,996,61.0,0.9422894985808892,0.05771050141911083,0.00717269073496395
200,5,6,84,70,swap3_f8b7dcce,0.001,0.3,1056,991,65.0,0.9384469696969696,0.06155303030303039,0.007396012359989281
210,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3041,2857,184.0,0.9394935876356462,0.060506412364353834,0.0043235392055357685
220,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3039,2827,212.0,0.9302402105955908,0.06975978940440919,0.004620987402716549
230,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3039,2817,222.0,0.926949654491609,0.07305034550839096,0.004720346294954371
240,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3037,2778,259.0,0.91471847217649,0.08528152782350995,0.0050681424708895785
250,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3037,2766,271.0,0.9107672044781034,0.08923279552189656,0.005173012709788673
260,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3034,2795,239.0,0.9212261041529334,0.07877389584706662,0.0048906489675412165
270,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3034,2744,290.0,0.9044166117336848,0.09558338826631518,0.005337866253015748
280,5,6,84,70,swap3_f8b7dcce,0.001,0.3,3033,2746,287.0,0.9053742169469172,0.09462578305308278,0.0053147470476253055
